date,location,new_cases,new_deaths,total_cases,total_deaths
1/18/2020,China,,,278,6
1/19/2020,China,,,278,6
1/19/2020,Thailand,,,1,
1/20/2020,China,,,278,6
1/20/2020,Thailand,,,1,
1/20/2020,Japan,,,1,
1/21/2020,China,,,278,6
1/21/2020,Japan,,,1,
1/21/2020,Thailand,,,1,
1/21/2020,South Korea,,,2,
1/21/2020,World,0,0,282,6
1/22/2020,China,32,0,310,6
1/22/2020,Japan,0,,1,
1/22/2020,South Korea,0,,1,
1/22/2020,Thailand,0,,2,
1/22/2020,World,32,0,314,6
1/23/2020,China,264,11,574,17
1/23/2020,Japan,0,,1,
1/23/2020,South Korea,0,,1,
1/23/2020,Thailand,2,,4,
1/23/2020,United States,,,1,
1/23/2020,World,266,11,581,17
1/24/2020,China,261,8,835,25
1/24/2020,Japan,0,,1,
1/24/2020,South Korea,1,,2,
1/24/2020,Singapore,,,1,
1/24/2020,Thailand,0,,4,
1/24/2020,United States,0,,1,
1/24/2020,Vietnam,,,2,
1/24/2020,World,262,8,846,25
1/25/2020,Australia,,,3,
1/25/2020,China,462,16,1297,41
1/25/2020,France,,,3,
1/25/2020,Japan,2,,3,
1/25/2020,Nepal,,,1,
1/25/2020,South Korea,0,,2,
1/25/2020,Singapore,2,,3,
1/25/2020,Thailand,0,,4,
1/25/2020,United States,1,,2,
1/25/2020,Vietnam,0,,2,
1/25/2020,World,467,16,1320,41
1/26/2020,Australia,1,,4,
1/26/2020,China,688,15,1985,56
1/26/2020,France,0,,3,
1/26/2020,Japan,0,,3,
1/26/2020,Malaysia,,,3,
1/26/2020,Nepal,0,,1,
1/26/2020,South Korea,0,,2,
1/26/2020,Singapore,1,,4,
1/26/2020,Thailand,1,,5,
1/26/2020,United States,0,,2,
1/26/2020,Vietnam,0,,2,
1/26/2020,World,691,15,2014,56
1/27/2020,Australia,0,,4,
1/27/2020,Canada,,,1,
1/27/2020,China,776,24,2761,80
1/27/2020,France,0,,3,
1/27/2020,Japan,1,,4,
1/27/2020,Malaysia,1,,4,
1/27/2020,Nepal,0,,1,
1/27/2020,South Korea,2,,4,
1/27/2020,Singapore,0,,4,
1/27/2020,Thailand,0,,5,
1/27/2020,United States,3,,5,
1/27/2020,Vietnam,0,,2,
1/27/2020,World,783,24,2798,80
1/28/2020,Australia,1,,5,
1/28/2020,Cambodia,,,1,
1/28/2020,Canada,1,,2,
1/28/2020,China,1776,26,4537,106
1/28/2020,France,0,,3,
1/28/2020,Germany,,,1,
1/28/2020,Japan,2,,6,
1/28/2020,Malaysia,0,,4,
1/28/2020,Nepal,0,,1,
1/28/2020,South Korea,0,,4,
1/28/2020,Singapore,3,,7,
1/28/2020,Sri Lanka,,,1,
1/28/2020,Thailand,9,,14,
1/28/2020,United States,0,,5,
1/28/2020,Vietnam,0,,2,
1/28/2020,World,1792,26,4593,106
1/29/2020,Australia,2,,7,
1/29/2020,Cambodia,0,,1,
1/29/2020,Canada,1,,3,
1/29/2020,China,1460,26,5997,132
1/29/2020,France,1,,4,
1/29/2020,Germany,3,,4,
1/29/2020,Japan,1,,7,
1/29/2020,Malaysia,0,,4,
1/29/2020,Nepal,0,,1,
1/29/2020,South Korea,0,,4,
1/29/2020,Singapore,0,,7,
1/29/2020,Sri Lanka,0,,1,
1/29/2020,Thailand,0,,14,
1/29/2020,United Arab Emirates,,,4,
1/29/2020,United States,0,,5,
1/29/2020,Vietnam,0,,2,
1/29/2020,World,1468,26,6065,132
1/30/2020,Australia,0,,7,
1/30/2020,Cambodia,0,,1,
1/30/2020,Canada,0,,3,
1/30/2020,China,1739,38,7736,170
1/30/2020,Finland,,,1,
1/30/2020,France,1,,5,
1/30/2020,Germany,0,,4,
1/30/2020,India,,,1,
1/30/2020,Japan,4,,11,
1/30/2020,Malaysia,3,,7,
1/30/2020,Nepal,0,,1,
1/30/2020,Philippines,,,1,
1/30/2020,South Korea,0,,4,
1/30/2020,Singapore,3,,10,
1/30/2020,Sri Lanka,0,,1,
1/30/2020,Thailand,0,,14,
1/30/2020,United Arab Emirates,0,,4,
1/30/2020,United States,0,,5,
1/30/2020,Vietnam,0,,2,
1/30/2020,World,1750,38,7818,170
1/31/2020,Australia,2,,9,
1/31/2020,Cambodia,0,,1,
1/31/2020,Canada,0,,3,
1/31/2020,China,1984,43,9720,213
1/31/2020,Finland,0,,1,
1/31/2020,France,1,,6,
1/31/2020,Germany,1,,5,
1/31/2020,India,0,,1,
1/31/2020,Italy,,,2,
1/31/2020,Japan,3,,14,
1/31/2020,Malaysia,1,,8,
1/31/2020,Nepal,0,,1,
1/31/2020,Philippines,0,,1,
1/31/2020,South Korea,7,,11,
1/31/2020,Singapore,3,,13,
1/31/2020,Sri Lanka,0,,1,
1/31/2020,Thailand,0,,14,
1/31/2020,United Arab Emirates,0,,4,
1/31/2020,United States,1,,6,
1/31/2020,Vietnam,3,,5,
1/31/2020,World,2006,43,9826,213
2/1/2020,Australia,3,,12,
2/1/2020,Cambodia,0,,1,
2/1/2020,Canada,1,,4,
2/1/2020,China,2101,46,11821,259
2/1/2020,Finland,0,,1,
2/1/2020,France,0,,6,
2/1/2020,Germany,2,,7,
2/1/2020,India,0,,1,
2/1/2020,Italy,0,,2,
2/1/2020,Japan,3,,17,
2/1/2020,Malaysia,0,,8,
2/1/2020,Nepal,0,,1,
2/1/2020,Philippines,0,,1,
2/1/2020,South Korea,1,,12,
2/1/2020,Russia,,,2,
2/1/2020,Singapore,3,,16,
2/1/2020,Spain,,,1,
2/1/2020,Sri Lanka,0,,1,
2/1/2020,Sweden,,,1,
2/1/2020,Thailand,5,,19,
2/1/2020,United Kingdom,,,2,
2/1/2020,United Arab Emirates,0,,4,
2/1/2020,United States,1,,7,
2/1/2020,Vietnam,1,,6,
2/1/2020,World,2121,46,11953,259
2/2/2020,Australia,0,,12,
2/2/2020,Cambodia,0,,1,
2/2/2020,Canada,0,,4,
2/2/2020,China,2590,45,14411,304
2/2/2020,Finland,0,,1,
2/2/2020,France,0,,6,
2/2/2020,Germany,1,,8,
2/2/2020,India,1,,2,
2/2/2020,Italy,0,,2,
2/2/2020,Japan,3,,20,
2/2/2020,Malaysia,0,,8,
2/2/2020,Nepal,0,,1,
2/2/2020,Philippines,1,,2,1
2/2/2020,South Korea,3,,15,
2/2/2020,Russia,0,,2,
2/2/2020,Singapore,2,,18,
2/2/2020,Spain,0,,1,
2/2/2020,Sri Lanka,0,,1,
2/2/2020,Sweden,0,,1,
2/2/2020,Thailand,0,,19,
2/2/2020,United Kingdom,0,,2,
2/2/2020,United Arab Emirates,1,,5,
2/2/2020,United States,1,,8,
2/2/2020,Vietnam,1,,7,
2/2/2020,World,2604,45,14557,305
2/3/2020,Australia,0,,12,
2/3/2020,Cambodia,0,,1,
2/3/2020,Canada,0,,4,
2/3/2020,China,2827,57,17238,361
2/3/2020,Finland,0,,1,
2/3/2020,France,0,,6,
2/3/2020,Germany,2,,10,
2/3/2020,India,1,,3,
2/3/2020,Italy,0,,2,
2/3/2020,Japan,0,,20,
2/3/2020,Malaysia,0,,8,
2/3/2020,Nepal,0,,1,
2/3/2020,Philippines,0,0,2,1
2/3/2020,South Korea,0,,15,
2/3/2020,Russia,0,,2,
2/3/2020,Singapore,0,,18,
2/3/2020,Spain,0,,1,
2/3/2020,Sri Lanka,0,,1,
2/3/2020,Sweden,0,,1,
2/3/2020,Thailand,0,,19,
2/3/2020,United Kingdom,0,,2,
2/3/2020,United Arab Emirates,0,,5,
2/3/2020,United States,3,,11,
2/3/2020,Vietnam,1,,8,
2/3/2020,World,2834,57,17391,362
2/4/2020,Australia,0,,12,
2/4/2020,Cambodia,0,,1,
2/4/2020,Canada,0,,4,
2/4/2020,China,3233,64,20471,425
2/4/2020,Finland,0,,1,
2/4/2020,France,0,,6,
2/4/2020,Germany,2,,12,
2/4/2020,India,0,,3,
2/4/2020,Italy,0,,2,
2/4/2020,Japan,0,,20,
2/4/2020,Malaysia,2,,10,
2/4/2020,Nepal,0,,1,
2/4/2020,Philippines,0,0,2,1
2/4/2020,South Korea,1,,16,
2/4/2020,Russia,0,,2,
2/4/2020,Singapore,0,,18,
2/4/2020,Spain,0,,1,
2/4/2020,Sri Lanka,0,,1,
2/4/2020,Sweden,0,,1,
2/4/2020,Thailand,0,,19,
2/4/2020,United Kingdom,0,,2,
2/4/2020,United Arab Emirates,0,,5,
2/4/2020,United States,0,,11,
2/4/2020,Vietnam,1,,9,
2/4/2020,World,3239,64,20630,426
2/5/2020,Australia,1,,13,
2/5/2020,Belgium,,,1,
2/5/2020,Cambodia,0,,1,
2/5/2020,Canada,1,,5,
2/5/2020,China,3892,66,24363,491
2/5/2020,Finland,0,,1,
2/5/2020,France,0,,6,
2/5/2020,Germany,0,,12,
2/5/2020,India,0,,3,
2/5/2020,Italy,0,,2,
2/5/2020,Japan,3,,23,
2/5/2020,Malaysia,0,,10,
2/5/2020,Nepal,0,,1,
2/5/2020,Philippines,1,0,3,1
2/5/2020,South Korea,2,,18,
2/5/2020,Russia,0,,2,
2/5/2020,Singapore,6,,24,
2/5/2020,Spain,0,,1,
2/5/2020,Sri Lanka,0,,1,
2/5/2020,Sweden,0,,1,
2/5/2020,Thailand,6,,25,
2/5/2020,United Kingdom,0,,2,
2/5/2020,United Arab Emirates,0,,5,
2/5/2020,United States,0,,11,
2/5/2020,Vietnam,1,,10,
2/5/2020,World,3913,66,24544,492
2/6/2020,Australia,1,,14,
2/6/2020,Belgium,0,,1,
2/6/2020,Cambodia,0,,1,
2/6/2020,Canada,0,,5,
2/6/2020,China,3697,73,28060,564
2/6/2020,Finland,0,,1,
2/6/2020,France,0,,6,
2/6/2020,Germany,0,,12,
2/6/2020,India,0,,3,
2/6/2020,International,,,20,
2/6/2020,Italy,0,,2,
2/6/2020,Japan,2,,25,
2/6/2020,Malaysia,2,,12,
2/6/2020,Nepal,0,,1,
2/6/2020,Philippines,0,0,3,1
2/6/2020,South Korea,5,,23,
2/6/2020,Russia,0,,2,
2/6/2020,Singapore,4,,28,
2/6/2020,Spain,0,,1,
2/6/2020,Sri Lanka,0,,1,
2/6/2020,Sweden,0,,1,
2/6/2020,Thailand,0,,25,
2/6/2020,United Kingdom,0,,2,
2/6/2020,United Arab Emirates,0,,5,
2/6/2020,United States,1,,12,
2/6/2020,Vietnam,0,,10,
2/6/2020,World,3712,73,28276,565
2/7/2020,Australia,1,,15,
2/7/2020,Belgium,0,,1,
2/7/2020,Cambodia,0,,1,
2/7/2020,Canada,2,,7,
2/7/2020,China,3151,73,31211,637
2/7/2020,Finland,0,,1,
2/7/2020,France,0,,6,
2/7/2020,Germany,1,,13,
2/7/2020,India,0,,3,
2/7/2020,International,41,,61,
2/7/2020,Italy,1,,3,
2/7/2020,Japan,0,,25,
2/7/2020,Malaysia,2,,14,
2/7/2020,Nepal,0,,1,
2/7/2020,Philippines,0,0,3,1
2/7/2020,South Korea,1,,24,
2/7/2020,Russia,0,,2,
2/7/2020,Singapore,2,,30,
2/7/2020,Spain,0,,1,
2/7/2020,Sri Lanka,0,,1,
2/7/2020,Sweden,0,,1,
2/7/2020,Thailand,0,,25,
2/7/2020,United Kingdom,1,,3,
2/7/2020,United Arab Emirates,0,,5,
2/7/2020,United States,0,,12,
2/7/2020,Vietnam,2,,12,
2/7/2020,World,3205,73,31481,638
2/8/2020,Australia,0,,15,
2/8/2020,Belgium,0,,1,
2/8/2020,Cambodia,0,,1,
2/8/2020,Canada,0,,7,
2/8/2020,China,3387,86,34598,723
2/8/2020,Finland,0,,1,
2/8/2020,France,0,,6,
2/8/2020,Germany,1,,14,
2/8/2020,India,0,,3,
2/8/2020,International,3,,64,
2/8/2020,Italy,0,,3,
2/8/2020,Japan,0,,25,
2/8/2020,Malaysia,1,,15,
2/8/2020,Nepal,0,,1,
2/8/2020,Philippines,0,0,3,1
2/8/2020,South Korea,0,,24,
2/8/2020,Russia,0,,2,
2/8/2020,Singapore,3,,33,
2/8/2020,Spain,0,,1,
2/8/2020,Sri Lanka,0,,1,
2/8/2020,Sweden,0,,1,
2/8/2020,Thailand,7,,32,
2/8/2020,United Kingdom,0,,3,
2/8/2020,United Arab Emirates,2,,7,
2/8/2020,United States,0,,12,
2/8/2020,Vietnam,1,,13,
2/8/2020,World,3405,86,34886,724
2/9/2020,Australia,0,,15,
2/9/2020,Belgium,0,,1,
2/9/2020,Cambodia,0,,1,
2/9/2020,Canada,0,,7,
2/9/2020,China,2653,89,37251,812
2/9/2020,Finland,0,,1,
2/9/2020,France,5,,11,
2/9/2020,Germany,0,,14,
2/9/2020,India,0,,3,
2/9/2020,International,0,,64,
2/9/2020,Italy,0,,3,
2/9/2020,Japan,1,,26,
2/9/2020,Malaysia,2,,17,
2/9/2020,Nepal,0,,1,
2/9/2020,Philippines,0,0,3,1
2/9/2020,South Korea,3,,27,
2/9/2020,Russia,0,,2,
2/9/2020,Singapore,7,,40,
2/9/2020,Spain,0,,1,
2/9/2020,Sri Lanka,0,,1,
2/9/2020,Sweden,0,,1,
2/9/2020,Thailand,0,,32,
2/9/2020,United Kingdom,0,,3,
2/9/2020,United Arab Emirates,0,,7,
2/9/2020,United States,0,,12,
2/9/2020,Vietnam,1,,14,
2/9/2020,World,2672,89,37558,813
2/10/2020,Australia,0,,15,
2/10/2020,Belgium,0,,1,
2/10/2020,Cambodia,0,,1,
2/10/2020,Canada,0,,7,
2/10/2020,China,2984,97,40235,909
2/10/2020,Finland,0,,1,
2/10/2020,France,0,,11,
2/10/2020,Germany,0,,14,
2/10/2020,India,0,,3,
2/10/2020,International,6,,70,
2/10/2020,Italy,0,,3,
2/10/2020,Japan,0,,26,
2/10/2020,Malaysia,1,,18,
2/10/2020,Nepal,0,,1,
2/10/2020,Philippines,0,0,3,1
2/10/2020,South Korea,0,,27,
2/10/2020,Russia,0,,2,
2/10/2020,Singapore,3,,43,
2/10/2020,Spain,1,,2,
2/10/2020,Sri Lanka,0,,1,
2/10/2020,Sweden,0,,1,
2/10/2020,Thailand,0,,32,
2/10/2020,United Kingdom,1,,4,
2/10/2020,United Arab Emirates,0,,7,
2/10/2020,United States,0,,12,
2/10/2020,Vietnam,0,,14,
2/10/2020,World,2996,97,40554,910
2/11/2020,Australia,0,,15,
2/11/2020,Belgium,0,,1,
2/11/2020,Cambodia,0,,1,
2/11/2020,Canada,0,,7,
2/11/2020,China,2473,108,42708,1017
2/11/2020,Finland,0,,1,
2/11/2020,France,0,,11,
2/11/2020,Germany,0,,14,
2/11/2020,India,0,,3,
2/11/2020,International,65,,135,
2/11/2020,Italy,0,,3,
2/11/2020,Japan,0,,26,
2/11/2020,Malaysia,0,,18,
2/11/2020,Nepal,0,,1,
2/11/2020,Philippines,0,0,3,1
2/11/2020,South Korea,1,,28,
2/11/2020,Russia,0,,2,
2/11/2020,Singapore,2,,45,
2/11/2020,Spain,0,,2,
2/11/2020,Sri Lanka,0,,1,
2/11/2020,Sweden,0,,1,
2/11/2020,Thailand,1,,33,
2/11/2020,United Kingdom,4,,8,
2/11/2020,United Arab Emirates,1,,8,
2/11/2020,United States,1,,13,
2/11/2020,Vietnam,1,,15,
2/11/2020,World,2549,108,43103,1018
2/12/2020,Australia,0,,15,
2/12/2020,Belgium,0,,1,
2/12/2020,Cambodia,0,,1,
2/12/2020,Canada,0,,7,
2/12/2020,China,2022,97,44730,1114
2/12/2020,Finland,0,,1,
2/12/2020,France,0,,11,
2/12/2020,Germany,2,,16,
2/12/2020,India,0,,3,
2/12/2020,International,40,,175,
2/12/2020,Italy,0,,3,
2/12/2020,Japan,2,,28,
2/12/2020,Malaysia,0,,18,
2/12/2020,Nepal,0,,1,
2/12/2020,Philippines,0,0,3,1
2/12/2020,South Korea,0,,28,
2/12/2020,Russia,0,,2,
2/12/2020,Singapore,2,,47,
2/12/2020,Spain,0,,2,
2/12/2020,Sri Lanka,0,,1,
2/12/2020,Sweden,0,,1,
2/12/2020,Thailand,0,,33,
2/12/2020,United Kingdom,0,,8,
2/12/2020,United Arab Emirates,0,,8,
2/12/2020,United States,0,,13,
2/12/2020,Vietnam,0,,15,
2/12/2020,World,2068,97,45171,1115
2/13/2020,Australia,0,,15,
2/13/2020,Belgium,0,,1,
2/13/2020,Cambodia,0,,1,
2/13/2020,Canada,0,,7,
2/13/2020,China,1820,254,46550,1368
2/13/2020,Finland,0,,1,
2/13/2020,France,0,,11,
2/13/2020,Germany,0,,16,
2/13/2020,India,0,,3,
2/13/2020,International,-1,,174,
2/13/2020,Italy,0,,3,
2/13/2020,Japan,1,,29,
2/13/2020,Malaysia,0,,18,
2/13/2020,Nepal,0,,1,
2/13/2020,Philippines,0,0,3,1
2/13/2020,South Korea,0,,28,
2/13/2020,Russia,0,,2,
2/13/2020,Singapore,3,,50,
2/13/2020,Spain,0,,2,
2/13/2020,Sri Lanka,0,,1,
2/13/2020,Sweden,0,,1,
2/13/2020,Thailand,0,,33,
2/13/2020,United Kingdom,1,,9,
2/13/2020,United Arab Emirates,0,,8,
2/13/2020,United States,1,,14,
2/13/2020,Vietnam,1,,16,
2/13/2020,World,1826,254,46997,1369
2/14/2020,Australia,0,,15,
2/14/2020,Belgium,0,,1,
2/14/2020,Cambodia,0,,1,
2/14/2020,Canada,0,,7,
2/14/2020,China,1998,13,48548,1381
2/14/2020,Finland,0,,1,
2/14/2020,France,0,,11,
2/14/2020,Germany,0,,16,
2/14/2020,India,0,,3,
2/14/2020,International,44,,218,
2/14/2020,Italy,0,,3,
2/14/2020,Japan,4,,33,1
2/14/2020,Malaysia,1,,19,
2/14/2020,Nepal,0,,1,
2/14/2020,Philippines,0,0,3,1
2/14/2020,South Korea,0,,28,
2/14/2020,Russia,0,,2,
2/14/2020,Singapore,8,,58,
2/14/2020,Spain,0,,2,
2/14/2020,Sri Lanka,0,,1,
2/14/2020,Sweden,0,,1,
2/14/2020,Thailand,0,,33,
2/14/2020,United Kingdom,0,,9,
2/14/2020,United Arab Emirates,0,,8,
2/14/2020,United States,1,,15,
2/14/2020,Vietnam,0,,16,
2/14/2020,World,2056,13,49053,1383
2/15/2020,Australia,0,,15,
2/15/2020,Belgium,0,,1,
2/15/2020,Cambodia,0,,1,
2/15/2020,Canada,0,,7,
2/15/2020,China,1506,143,50054,1524
2/15/2020,Egypt,,,1,
2/15/2020,Finland,0,,1,
2/15/2020,France,0,,11,
2/15/2020,Germany,0,,16,
2/15/2020,India,0,,3,
2/15/2020,International,0,,218,
2/15/2020,Italy,0,,3,
2/15/2020,Japan,8,0,41,1
2/15/2020,Malaysia,2,,21,
2/15/2020,Nepal,0,,1,
2/15/2020,Philippines,0,0,3,1
2/15/2020,South Korea,0,,28,
2/15/2020,Russia,0,,2,
2/15/2020,Singapore,9,,67,
2/15/2020,Spain,0,,2,
2/15/2020,Sri Lanka,0,,1,
2/15/2020,Sweden,0,,1,
2/15/2020,Thailand,1,,34,
2/15/2020,United Kingdom,0,,9,
2/15/2020,United Arab Emirates,0,,8,
2/15/2020,United States,0,,15,
2/15/2020,Vietnam,0,,16,
2/15/2020,World,1526,143,50580,1526
2/16/2020,Australia,0,,15,
2/16/2020,Belgium,0,,1,
2/16/2020,Cambodia,0,,1,
2/16/2020,Canada,0,,7,
2/16/2020,China,1120,142,51174,1666
2/16/2020,Egypt,0,,1,
2/16/2020,Finland,0,,1,
2/16/2020,France,1,,12,1
2/16/2020,Germany,0,,16,
2/16/2020,India,0,,3,
2/16/2020,International,137,,355,
2/16/2020,Italy,0,,3,
2/16/2020,Japan,12,0,53,1
2/16/2020,Malaysia,1,,22,
2/16/2020,Nepal,0,,1,
2/16/2020,Philippines,0,0,3,1
2/16/2020,South Korea,1,,29,
2/16/2020,Russia,0,,2,
2/16/2020,Singapore,5,,72,
2/16/2020,Spain,0,,2,
2/16/2020,Sri Lanka,0,,1,
2/16/2020,Sweden,0,,1,
2/16/2020,Thailand,0,,34,
2/16/2020,United Kingdom,0,,9,
2/16/2020,United Arab Emirates,0,,8,
2/16/2020,United States,0,,15,
2/16/2020,Vietnam,0,,16,
2/16/2020,World,1277,142,51857,1669
2/17/2020,Australia,0,,15,
2/17/2020,Belgium,0,,1,
2/17/2020,Cambodia,0,,1,
2/17/2020,Canada,0,,7,
2/17/2020,China,19461,106,70635,1772
2/17/2020,Egypt,0,,1,
2/17/2020,Finland,0,,1,
2/17/2020,France,0,0,12,1
2/17/2020,Germany,0,,16,
2/17/2020,India,0,,3,
2/17/2020,International,99,,454,
2/17/2020,Italy,0,,3,
2/17/2020,Japan,6,0,59,1
2/17/2020,Malaysia,0,,22,
2/17/2020,Nepal,0,,1,
2/17/2020,Philippines,0,0,3,1
2/17/2020,South Korea,1,,30,
2/17/2020,Russia,0,,2,
2/17/2020,Singapore,3,,75,
2/17/2020,Spain,0,,2,
2/17/2020,Sri Lanka,0,,1,
2/17/2020,Sweden,0,,1,
2/17/2020,Thailand,1,,35,
2/17/2020,United Kingdom,0,,9,
2/17/2020,United Arab Emirates,1,,9,
2/17/2020,United States,0,,15,
2/17/2020,Vietnam,0,,16,
2/17/2020,World,19572,106,71429,1775
2/18/2020,Australia,0,,15,
2/18/2020,Belgium,0,,1,
2/18/2020,Cambodia,0,,1,
2/18/2020,Canada,1,,8,
2/18/2020,China,1893,98,72528,1870
2/18/2020,Egypt,0,,1,
2/18/2020,Finland,0,,1,
2/18/2020,France,0,0,12,1
2/18/2020,Germany,0,,16,
2/18/2020,India,0,,3,
2/18/2020,International,0,,454,
2/18/2020,Italy,0,,3,
2/18/2020,Japan,6,0,65,1
2/18/2020,Malaysia,0,,22,
2/18/2020,Nepal,0,,1,
2/18/2020,Philippines,0,0,3,1
2/18/2020,South Korea,1,,31,
2/18/2020,Russia,0,,2,
2/18/2020,Singapore,2,,77,
2/18/2020,Spain,0,,2,
2/18/2020,Sri Lanka,0,,1,
2/18/2020,Sweden,0,,1,
2/18/2020,Thailand,0,,35,
2/18/2020,United Kingdom,0,,9,
2/18/2020,United Arab Emirates,0,,9,
2/18/2020,United States,0,,15,
2/18/2020,Vietnam,0,,16,
2/18/2020,World,1903,98,73332,1873
2/19/2020,Australia,0,,15,
2/19/2020,Belgium,0,,1,
2/19/2020,Cambodia,0,,1,
2/19/2020,Canada,0,,8,
2/19/2020,China,1752,136,74280,2006
2/19/2020,Egypt,0,,1,
2/19/2020,Finland,0,,1,
2/19/2020,France,0,0,12,1
2/19/2020,Germany,0,,16,
2/19/2020,India,0,,3,
2/19/2020,International,88,,542,
2/19/2020,Italy,0,,3,
2/19/2020,Japan,8,0,73,1
2/19/2020,Malaysia,0,,22,
2/19/2020,Nepal,0,,1,
2/19/2020,Philippines,0,0,3,1
2/19/2020,South Korea,20,,51,
2/19/2020,Russia,0,,2,
2/19/2020,Singapore,4,,81,
2/19/2020,Spain,0,,2,
2/19/2020,Sri Lanka,0,,1,
2/19/2020,Sweden,0,,1,
2/19/2020,Thailand,0,,35,
2/19/2020,United Kingdom,0,,9,
2/19/2020,United Arab Emirates,0,,9,
2/19/2020,United States,0,,15,
2/19/2020,Vietnam,0,,16,
2/19/2020,World,1872,136,75204,2009
2/20/2020,Australia,0,,15,
2/20/2020,Belgium,0,,1,
2/20/2020,Cambodia,0,,1,
2/20/2020,Canada,0,,8,
2/20/2020,China,395,115,74675,2121
2/20/2020,Egypt,0,,1,
2/20/2020,Finland,0,,1,
2/20/2020,France,0,0,12,1
2/20/2020,Germany,0,,16,
2/20/2020,India,0,,3,
2/20/2020,International,79,,621,2
2/20/2020,Iran,,,2,2
2/20/2020,Italy,0,,3,
2/20/2020,Japan,12,0,85,1
2/20/2020,Malaysia,0,,22,
2/20/2020,Nepal,0,,1,
2/20/2020,Philippines,0,0,3,1
2/20/2020,South Korea,53,,104,1
2/20/2020,Russia,0,,2,
2/20/2020,Singapore,3,,84,
2/20/2020,Spain,0,,2,
2/20/2020,Sri Lanka,0,,1,
2/20/2020,Sweden,0,,1,
2/20/2020,Thailand,0,,35,
2/20/2020,United Kingdom,0,,9,
2/20/2020,United Arab Emirates,0,,9,
2/20/2020,United States,0,,15,
2/20/2020,Vietnam,0,,16,
2/20/2020,World,542,115,75748,2129
2/21/2020,Australia,2,,17,
2/21/2020,Belgium,0,,1,
2/21/2020,Cambodia,0,,1,
2/21/2020,Canada,0,,8,
2/21/2020,China,894,118,75569,2239
2/21/2020,Egypt,0,,1,
2/21/2020,Finland,0,,1,
